islem_id,zaman_damgasi,kullanici_id,tutar,alici_adi,kategori,sehir,ulke,cihaz_id,ip_adresi,hesap_yasi_gun,is_fraud,islem_kanali,kullanici_ortalama_harcama,dolandiricilik_mi
8b621d41-5e09,2026-04-10 17:13:45,USR-0191,358.72,CarrefourSA,Market,Adana,Türkiye,81d2c7de,219.122.65.147,1481,0,Mobil Uygulama,309.05,0
f7dc67e0-3097,2026-04-08 20:01:07,USR-0063,254.87,Hepsiburada,Alışveriş,Adana,Türkiye,d2fe2fde,22.201.146.35,151,0,API,268.7,0
c96b5edb-0cf2,2026-05-04 21:11:53,USR-0308,159.42,Petrol Ofisi,Yakıt,Adana,Türkiye,ff233d5f,40.15.35.9,1572,0,Mobil Uygulama,94.66,0
c3e15a85-d46e,2026-05-03 07:15:13,USR-0115,337.3,Migros,Market,Adana,Türkiye,82010c62,2.221.34.89,657,0,Hızlı QR,185.0,0
c9e48e8c-25c6,2026-04-17 04:56:09,USR-0294,154.54,Getir Yemek,Gıda,Antalya,Türkiye,ab0e664e,208.23.58.148,990,1,Web Sitesi,177.95,1
fcce96f6-250a,2026-04-19 08:31:16,USR-0472,187.8,Petrol Ofisi,Yakıt,İstanbul,Türkiye,ded255d0,80.10.183.231,1624,0,Mobil Uygulama,211.21,0
06998731-ddcf,2026-04-14 08:46:35,USR-0036,385.96,Starbucks,Gıda,Bursa,Türkiye,9132b63e,86.237.113.3,1882,0,Mobil Uygulama,228.03,0
2c9b662e-040a,2026-04-17 10:40:59,USR-0175,440.49,Yemeksepeti,Gıda,Bursa,Türkiye,adf4e62d,121.3.153.251,1145,0,Hızlı QR,363.74,0
104556e5-bee3,2026-04-26 07:55:38,USR-0044,75.04,Spotify,Eğlence,Adana,Türkiye,7e570ddf,27.149.210.194,1403,0,Web Sitesi,121.99,0
80fb9296-73b6,2026-04-30 19:26:18,USR-0227,116.39,Turkish Airlines,Ulaşım,Antalya,Türkiye,c074718e,112.177.159.136,816,0,API,62.13,0
f6ca6b8b-a4b1,2026-05-01 05:00:26,USR-0263,148.7,Steam,Eğlence,İzmir,Türkiye,07f194f9,94.167.163.187,512,1,API,195.04,1
7d824264-1ba3,2026-04-25 09:23:26,USR-0113,325.71,Amazon,Alışveriş,Ankara,Türkiye,7a0ecfea,190.49.169.160,498,0,Mobil Uygulama,372.29,0
9bb96155-5275,2026-04-09 11:05:44,USR-0149,435.2,Shell,Yakıt,Bursa,Türkiye,1ca3c448,106.4.225.120,1779,0,Mobil Uygulama,411.01,0
